From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
1328;1316;canal;4316;-1;-1;-1;-1;suez_canal
2348;318;sea;1319;-1;-1;-1;-1;Chios-Sugla
4700;2296;sea;1319;-1;-1;-1;-1;Lesbos-Biga
285;2447;sea;1323;-1;-1;-1;-1;Kaffa-Mapa
2022;976;sea;1559;-1;-1;-1;-1;Haida-Tlingit
2587;2521;sea;1661;-1;-1;-1;-1;Odawa-Okouara
2587;1001;sea;1661;-1;-1;-1;-1;Odawa-Soto
2576;2578;sea;1490;-1;-1;-1;-1;Mingan-Anticosti
249;4121;sea;1284;-1;-1;-1;-1;Ayrshire-Ulster
536;2100;sea;1340;-1;-1;-1;-1;Madurai-Vanni
2803;502;sea;1522;-1;-1;-1;-1;Orinoco Delta-Trinidad
500;499;sea;1522;-1;-1;-1;-1;St Vincent-St Lucia
499;498;sea;1523;-1;-1;-1;-1;St Lucia-Martinique
498;497;sea;1523;-1;-1;-1;-1;Martinique-Dominica
496;495;sea;1523;-1;-1;-1;-1;Guadalupe-Antigua
495;494;sea;1523;-1;-1;-1;-1;Antigua-St Kits
628;2692;sea;1355;-1;-1;-1;-1;Surabaya-Madura
631;2693;sea;1355;-1;-1;-1;-1;Bali-Lombok
2693;632;sea;1355;-1;-1;-1;-1;Lombok-Sumbawa
632;633;sea;1355;-1;-1;-1;-1;Sumbawa-Flores
633;2695;sea;1401;-1;-1;-1;-1;Flores-East Timor
2716;642;sea;1357;-1;-1;-1;-1;Buton-Kendari
2700;4351;sea;1397;-1;-1;-1;-1;Cebu-Panay
4353;4355;sea;1402;-1;-1;-1;-1;Leyte-Caraga
2700;4350;sea;1397;-1;-1;-1;-1;Panay-Mindoro
4356;4350;sea;1395;-1;-1;-1;-1;Taytay-Mindoro
646;647;sea;1401;-1;-1;-1;-1;Ambom-Ceram
2678;622;sea;1361;-1;-1;-1;-1;Banka-Palembang
2686;597;sea;1361;-1;-1;-1;-1;Bintan-Johor
2929;2890;sea;1529;-1;-1;-1;-1;Para-Marajo
748;2890;sea;1529;-1;-1;-1;-1;Belem-Marajo
911;2587;sea;1661;-1;-1;-1;-1;Belem-Marajo
2954;353;sea;1305;-1;-1;-1;-1;Djerba-Tataouine
624;623;sea;1352;-1;-1;-1;-1;Banten-Tulungbewang
431;2999;sea;1334;-1;-1;-1;-1;Mogostan-Hormuz
398;2999;sea;1334;-1;-1;-1;-1;Qawasim-Hormuz
146;3003;sea;1319;-1;-1;-1;-1;Athens - Euboea
3003;164;sea;1319;-1;-1;-1;-1;Euboea - Cyclades
31;4152;lake;4139;-1;-1;-1;-1;Savolax - Kuusamo
1751;226;sea;1293;-1;-1;-1;-1;Ceuta-Gibraltar
4353;4352;sea;1397;-1;-1;-1;-1;Leyte-Cebu
4351;4352;sea;1397;-1;-1;-1;-1;Buglas-Cebu
4699;4698;sea;1312;-1;-1;-1;-1;Arta-Cephalonia
4745;47;sea;1257;-1;-1;-1;-1;Rügen-Stralsund
2994;48;sea;1257;-1;-1;-1;-1;Wolgast-Kolberg
-1;-1;;-1;-1;-1;-1;-1;-1;
